Date,Open,High,Low,Close,Volume
31-Jan-17,2.55,2.75,2.55,2.75,92118
30-Jan-17,2.74,2.79,2.58,2.58,120031
27-Jan-17,2.74,2.79,2.72,2.76,29838
26-Jan-17,2.76,2.78,2.69,2.73,70774
25-Jan-17,2.83,2.87,2.70,2.77,137134
24-Jan-17,2.54,2.82,2.54,2.81,264746
23-Jan-17,2.50,2.55,2.45,2.52,87771
20-Jan-17,2.49,2.55,2.42,2.44,43003
19-Jan-17,2.25,2.49,2.25,2.49,81230
18-Jan-17,2.38,2.38,2.23,2.30,190092
17-Jan-17,2.54,2.54,2.40,2.44,205228
13-Jan-17,2.42,2.54,2.42,2.54,271298
12-Jan-17,2.26,2.42,2.24,2.41,112532
11-Jan-17,2.26,2.35,2.24,2.25,212634
10-Jan-17,2.22,2.30,2.19,2.26,255902
9-Jan-17,2.07,2.15,2.05,2.13,153079
6-Jan-17,1.99,2.03,1.96,2.03,39831
5-Jan-17,1.92,2.01,1.92,1.99,74197
4-Jan-17,1.88,1.94,1.88,1.90,100678
3-Jan-17,1.73,1.88,1.72,1.87,85255
30-Dec-16,1.70,1.73,1.70,1.72,33340
29-Dec-16,1.69,1.73,1.68,1.71,130690
28-Dec-16,1.68,1.69,1.62,1.69,76560
27-Dec-16,1.68,1.73,1.68,1.68,160468
23-Dec-16,1.73,1.73,1.70,1.70,61878
22-Dec-16,1.65,1.73,1.65,1.72,81370
21-Dec-16,1.68,1.68,1.65,1.65,39600
20-Dec-16,1.65,1.70,1.65,1.68,32199
19-Dec-16,1.65,1.66,1.56,1.60,99199
16-Dec-16,1.73,1.74,1.68,1.70,105619
15-Dec-16,1.71,1.72,1.68,1.69,69663
14-Dec-16,1.79,1.80,1.71,1.71,13185
13-Dec-16,1.64,1.76,1.64,1.75,54280
12-Dec-16,1.83,1.83,1.64,1.66,27074
9-Dec-16,1.66,1.77,1.66,1.76,46617
8-Dec-16,1.67,1.69,1.60,1.67,30425
7-Dec-16,1.55,1.62,1.55,1.62,49321
6-Dec-16,1.56,1.56,1.52,1.55,55700
5-Dec-16,1.51,1.54,1.50,1.53,46875
2-Dec-16,1.43,1.54,1.43,1.51,149285
1-Dec-16,1.44,1.46,1.43,1.43,13300
30-Nov-16,1.43,1.43,1.41,1.42,55172
29-Nov-16,1.39,1.42,1.38,1.42,22002
28-Nov-16,1.33,1.39,1.31,1.37,80377
25-Nov-16,1.30,1.33,1.30,1.30,16980
23-Nov-16,1.33,1.35,1.33,1.33,81375
22-Nov-16,1.39,1.39,1.35,1.37,8792
21-Nov-16,1.39,1.44,1.38,1.39,90573
18-Nov-16,1.45,1.48,1.36,1.39,29600
